"path_id"	"source"	"description"	"type"	"pval"	"fdr"	"ratio"	"gene.list"	"nb.hits"	"nb.genes.path"	"nb.user.genes"	"tot.back.genes"
"ko00020"	"KEGG"	"Citrate cycle (TCA cycle)"	"pathway"	1	1	0	NA	0	30	0	19688
"ko00030"	"KEGG"	"Pentose phosphate pathway"	"pathway"	1	1	0	NA	0	30	0	19688
"ko00040"	"KEGG"	"Pentose and glucuronate interconversions"	"pathway"	1	1	0	NA	0	34	0	19688
"ko00051"	"KEGG"	"Fructose and mannose metabolism"	"pathway"	1	1	0	NA	0	33	0	19688
"ko00052"	"KEGG"	"Galactose metabolism"	"pathway"	1	1	0	NA	0	31	0	19688
"ko00053"	"KEGG"	"Ascorbate and aldarate metabolism"	"pathway"	1	1	0	NA	0	27	0	19688
"ko00061"	"KEGG"	"Fatty acid biosynthesis"	"pathway"	1	1	0	NA	0	13	0	19688
"ko00062"	"KEGG"	"Fatty acid elongation"	"pathway"	1	1	0	NA	0	25	0	19688
"ko00071"	"KEGG"	"Fatty acid degradation"	"pathway"	1	1	0	NA	0	44	0	19688
"ko00072"	"KEGG"	"Synthesis and degradation of ketone bodies"	"pathway"	1	1	0	NA	0	10	0	19688
"ko00100"	"KEGG"	"Steroid biosynthesis"	"pathway"	1	1	0	NA	0	20	0	19688
"ko00120"	"KEGG"	"Primary bile acid biosynthesis"	"pathway"	1	1	0	NA	0	17	0	19688
"ko00130"	"KEGG"	"Ubiquinone and other terpenoid-quinone biosynthesis"	"pathway"	1	1	0	NA	0	11	0	19688
"ko00140"	"KEGG"	"Steroid hormone biosynthesis"	"pathway"	1	1	0	NA	0	58	0	19688
"ko00190"	"KEGG"	"Oxidative phosphorylation"	"pathway"	1	1	0	NA	0	133	0	19688
"ko00220"	"KEGG"	"Arginine biosynthesis"	"pathway"	1	1	0	NA	0	21	0	19688
"ko00230"	"KEGG"	"Purine metabolism"	"pathway"	1	1	0	NA	0	175	0	19688
"ko00232"	"KEGG"	"Caffeine metabolism"	"pathway"	1	1	0	NA	0	5	0	19688
"ko00240"	"KEGG"	"Pyrimidine metabolism"	"pathway"	1	1	0	NA	0	105	0	19688
"ko00260"	"KEGG"	"Glycine, serine and threonine metabolism"	"pathway"	1	1	0	NA	0	40	0	19688
"ko00280"	"KEGG"	"Valine, leucine and isoleucine degradation"	"pathway"	1	1	0	NA	0	48	0	19688
"ko00290"	"KEGG"	"Valine, leucine and isoleucine biosynthesis"	"pathway"	1	1	0	NA	0	4	0	19688
"ko00310"	"KEGG"	"Lysine degradation"	"pathway"	1	1	0	NA	0	59	0	19688
"ko00330"	"KEGG"	"Arginine and proline metabolism"	"pathway"	1	1	0	NA	0	50	0	19688
"ko00340"	"KEGG"	"Histidine metabolism"	"pathway"	1	1	0	NA	0	24	0	19688
"ko00350"	"KEGG"	"Tyrosine metabolism"	"pathway"	1	1	0	NA	0	35	0	19688
"ko00360"	"KEGG"	"Phenylalanine metabolism"	"pathway"	1	1	0	NA	0	17	0	19688
"ko00380"	"KEGG"	"Tryptophan metabolism"	"pathway"	1	1	0	NA	0	40	0	19688
"ko00400"	"KEGG"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"pathway"	1	1	0	NA	0	5	0	19688
"ko00410"	"KEGG"	"beta-Alanine metabolism"	"pathway"	1	1	0	NA	0	31	0	19688
"ko00430"	"KEGG"	"Taurine and hypotaurine metabolism"	"pathway"	1	1	0	NA	0	11	0	19688
"ko00440"	"KEGG"	"Phosphonate and phosphinate metabolism"	"pathway"	1	1	0	NA	0	6	0	19688
"ko00450"	"KEGG"	"Selenocompound metabolism"	"pathway"	1	1	0	NA	0	17	0	19688
"ko00471"	"KEGG"	"D-Glutamine and D-glutamate metabolism"	"pathway"	1	1	0	NA	0	4	0	19688
"ko00480"	"KEGG"	"Glutathione metabolism"	"pathway"	1	1	0	NA	0	54	0	19688
"ko00500"	"KEGG"	"Starch and sucrose metabolism"	"pathway"	1	1	0	NA	0	36	0	19688
"ko00510"	"KEGG"	"N-Glycan biosynthesis"	"pathway"	1	1	0	NA	0	49	0	19688
"ko00511"	"KEGG"	"Other glycan degradation"	"pathway"	1	1	0	NA	0	18	0	19688
"ko00512"	"KEGG"	"Mucin type O-glycan biosynthesis"	"pathway"	1	1	0	NA	0	31	0	19688
"ko00514"	"KEGG"	"Other types of O-glycan biosynthesis"	"pathway"	1	1	0	NA	0	22	0	19688
"ko00520"	"KEGG"	"Amino sugar and nucleotide sugar metabolism"	"pathway"	1	1	0	NA	0	48	0	19688
"ko00531"	"KEGG"	"Glycosaminoglycan degradation"	"pathway"	1	1	0	NA	0	19	0	19688
"ko00532"	"KEGG"	"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"pathway"	1	1	0	NA	0	20	0	19688
"ko00533"	"KEGG"	"Glycosaminoglycan biosynthesis - keratan sulfate"	"pathway"	1	1	0	NA	0	14	0	19688
"ko00534"	"KEGG"	"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"pathway"	1	1	0	NA	0	24	0	19688
"ko00561"	"KEGG"	"Glycerolipid metabolism"	"pathway"	1	1	0	NA	0	59	0	19688
"ko00562"	"KEGG"	"Inositol phosphate metabolism"	"pathway"	1	1	0	NA	0	71	0	19688
"ko00563"	"KEGG"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"pathway"	1	1	0	NA	0	25	0	19688
"ko00564"	"KEGG"	"Glycerophospholipid metabolism"	"pathway"	1	1	0	NA	0	95	0	19688
"ko00565"	"KEGG"	"Ether lipid metabolism"	"pathway"	1	1	0	NA	0	45	0	19688
"ko00590"	"KEGG"	"Arachidonic acid metabolism"	"pathway"	1	1	0	NA	0	62	0	19688
"ko00591"	"KEGG"	"Linoleic acid metabolism"	"pathway"	1	1	0	NA	0	29	0	19688
"ko00592"	"KEGG"	"alpha-Linolenic acid metabolism"	"pathway"	1	1	0	NA	0	25	0	19688
"ko00600"	"KEGG"	"Sphingolipid metabolism"	"pathway"	1	1	0	NA	0	47	0	19688
