""	"logFC"	"Avg.Enrichment.Score"	"t"	"P.Value"	"adj.P.Val"	"B"
"HALLMARK_COAGULATION"	0.0110806112511949	0.439421975226674	2.76511181933293	0.0209138382803883	0.230052221084271	-5.52878473308049
"HALLMARK_COMPLEMENT"	0.011238400454313	0.434340853960402	2.16011282854933	0.0575464157943275	0.263218753313897	-6.53000253271451
"HALLMARK_XENOBIOTIC_METABOLISM"	0.0200785551492704	0.462003462898207	2.02618054608	0.071786932721972	0.263218753313897	-6.74183718626705
"HALLMARK_ALLOGRAFT_REJECTION"	0.00779326235073574	0.535263068739051	1.51205616755942	0.163103751888076	0.269599587560068	-7.49484194704359
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	0.103119615489254	-0.281203712100602	1.39073735782262	0.196072427316413	0.269599587560068	-7.6540127122915
"HALLMARK_HYPOXIA"	0.103119615489254	-0.281203712100602	1.39073735782262	0.196072427316413	0.269599587560068	-7.6540127122915
"HALLMARK_INFLAMMATORY_RESPONSE"	0.103119615489254	-0.281203712100602	1.39073735782262	0.196072427316413	0.269599587560068	-7.6540127122915
"HALLMARK_UV_RESPONSE_DN"	0.103119615489254	-0.281203712100602	1.39073735782262	0.196072427316413	0.269599587560068	-7.6540127122915
"HALLMARK_APOPTOSIS"	0.000362745987122715	0.582373567909072	0.522950661086512	0.613006429844332	0.723450579994683	-8.47761018871206
"HALLMARK_ADIPOGENESIS"	0.000199510292917093	0.586877663915843	0.364541414285836	0.723450579994683	0.723450579994683	-8.55366281212485
"HALLMARK_HEME_METABOLISM"	0.000199510292917093	0.586877663915843	0.364541414285836	0.723450579994683	0.723450579994683	-8.55366281212485
